admcd	admnm	lon	lat
1135056000	서울특별시 노원구 월계1동	127.057	37.622
1135057000	서울특별시 노원구 월계2동	127.052	37.635
1135058000	서울특별시 노원구 월계3동	127.064	37.626
1135058100	서울특별시 노원구 월계4동	127.057	37.622
1135059000	서울특별시 노원구 공릉제1동	127.074	37.623
1135059500	서울특별시 노원구 공릉1동	127.074	37.623
1135060000	서울특별시 노원구 공릉2동	127.093	37.631
1135060100	서울특별시 노원구 공릉제3동	127.074	37.623
1135060500	서울특별시 노원구 공릉1.3동	127.074	37.623
1135061100	서울특별시 노원구 하계1동	127.074	37.639
1135061200	서울특별시 노원구 하계2동	127.065	37.635
1135061900	서울특별시 노원구 중계본동	127.085	37.648
1135062100	서울특별시 노원구 중계1동	127.073	37.65
1135062200	서울특별시 노원구 중계2동	127.066	37.644
1135062300	서울특별시 노원구 중계3동	127.066	37.644
1135062400	서울특별시 노원구 중계4동	127.082	37.659
1135062500	서울특별시 노원구 중계2.3동	127.066	37.644
1135063000	서울특별시 노원구 상계1동	127.064	37.683
1135064000	서울특별시 노원구 상계2동	127.067	37.656
1135065000	서울특별시 노원구 상계제3동	127.083	37.676
1135066000	서울특별시 노원구 상계제4동	127.083	37.676
1135066500	서울특별시 노원구 상계3.4동	127.083	37.676
1135067000	서울특별시 노원구 상계5동	127.07	37.663
1135068000	서울특별시 노원구 상계제6동	127.06	37.647
1135069000	서울특별시 노원구 상계제7동	127.06	37.647
1135069500	서울특별시 노원구 상계6.7동	127.06	37.647
1135070000	서울특별시 노원구 상계8동	127.054	37.666
1135071000	서울특별시 노원구 상계9동	127.062	37.668
1135072000	서울특별시 노원구 상계10동	127.059	37.66
1138000000	서울특별시 은평구	126.926	37.617
1138051000	서울특별시 은평구 녹번동	126.932	37.604
1138052000	서울특별시 은평구 불광제1동	126.936	37.618
1138053000	서울특별시 은평구 불광제2동	126.93	37.624
1138054000	서울특별시 은평구 불광제3동	126.93	37.624
1138055100	서울특별시 은평구 갈현제1동	126.914	37.625
1138055200	서울특별시 은평구 갈현제2동	126.913	37.618
1138056000	서울특별시 은평구 구산동	126.908	37.612
1138057000	서울특별시 은평구 대조동	126.923	37.613
1138058000	서울특별시 은평구 응암제1동	126.929	37.597
1138059000	서울특별시 은평구 응암제2동	126.923	37.592
1138060000	서울특별시 은평구 응암제3동	126.916	37.59
1138061000	서울특별시 은평구 역촌제1동	126.915	37.605
1138062000	서울특별시 은평구 역촌제2동	126.915	37.605
1138062500	서울특별시 은평구 역촌동	126.915	37.605
1138063100	서울특별시 은평구 신사제1동	126.911	37.598
1138063200	서울특별시 은평구 신사제2동	126.906	37.594
1138064000	서울특별시 은평구 증산동	126.906	37.583
1138065000	서울특별시 은평구 수색동	126.895	37.586
1138066000	서울특별시 은평구 진관내동	126.939	37.642
1138067000	서울특별시 은평구 진관외동	126.939	37.642
1138068000	서울특별시 은평구 응암제4동	126.917	37.59
1138069000	서울특별시 은평구 진관동	126.939	37.642
1141000000	서울특별시 서대문구	126.934	37.582
1141051000	서울특별시 서대문구 충정로동	126.958	37.565
1141052000	서울특별시 서대문구 천연동	126.956	37.572
1141054000	서울특별시 서대문구 북아현제1동	126.955	37.559
1141055000	서울특별시 서대문구 북아현제2동	126.955	37.559
1141055500	서울특별시 서대문구 북아현동	126.955	37.559
1141056000	서울특별시 서대문구 북아현제3동	126.958	37.565
1141056500	서울특별시 서대문구 충현동	126.958	37.565
1141057000	서울특별시 서대문구 대신동	126.943	37.566
1141058000	서울특별시 서대문구 창천동	126.943	37.566
1141058500	서울특별시 서대문구 신촌동	126.943	37.566
1141059000	서울특별시 서대문구 연희제1동	126.933	37.573
1141060000	서울특별시 서대문구 연희제2동	126.932	37.574
1141061000	서울특별시 서대문구 연희제3동	126.933	37.573
1141061500	서울특별시 서대문구 연희동	126.933	37.573
1141062000	서울특별시 서대문구 홍제제1동	126.948	37.58
1141063000	서울특별시 서대문구 홍제제2동	126.953	37.584
1141064000	서울특별시 서대문구 홍제제3동	126.951	37.592
1141065000	서울특별시 서대문구 홍제제4동	126.953	37.584
1141065500	서울특별시 서대문구 홍제제2동	126.953	37.584
1141066000	서울특별시 서대문구 홍은제1동	126.947	37.6
1141067000	서울특별시 서대문구 홍은제2동	126.93	37.587
1141068000	서울특별시 서대문구 홍은제3동	126.93	37.587
1141068500	서울특별시 서대문구 홍은제2동	126.93	37.587
1141069000	서울특별시 서대문구 남가좌제1동	126.916	37.572
1141070000	서울특별시 서대문구 남가좌제2동	126.921	37.578
1141071000	서울특별시 서대문구 북가좌제1동	126.907	37.576
1141072000	서울특별시 서대문구 북가좌제2동	126.914	37.581
1144000000	서울특별시 마포구	126.901	37.56
1144051000	서울특별시 마포구 아현제1동	126.959	37.55
1144052000	서울특별시 마포구 아현제2동	126.953	37.55
1144053000	서울특별시 마포구 아현제3동	126.953	37.55
1144054000	서울특별시 마포구 공덕제1동	126.959	37.55
1144055000	서울특별시 마포구 공덕제2동	126.953	37.55
1144055500	서울특별시 마포구 아현동	126.952	37.55
1144056000	서울특별시 마포구 신공덕동	126.959	37.55
1144056500	서울특별시 마포구 공덕동	126.959	37.55
1144057000	서울특별시 마포구 도화제1동	126.952	37.541
1144058000	서울특별시 마포구 도화제2동	126.946	37.536
1144058500	서울특별시 마포구 도화동	126.946	37.536
1144059000	서울특별시 마포구 용강동	126.942	37.541
1144060000	서울특별시 마포구 대흥동	126.942	37.551
1144061000	서울특별시 마포구 염리동	126.948	37.55
1144062000	서울특별시 마포구 노고산동	126.941	37.551
1144063000	서울특별시 마포구 신수동	126.935	37.545
1144064000	서울특별시 마포구 창전동	126.926	37.546
1144065000	서울특별시 마포구 상수동	126.926	37.546
1144065500	서울특별시 마포구 서강동	126.926	37.546
1144066000	서울특별시 마포구 서교동	126.924	37.555
1144067000	서울특별시 마포구 동교동	126.924	37.555
1144068000	서울특별시 마포구 합정동	126.909	37.547
1144069000	서울특별시 마포구 망원제1동	126.899	37.552
1144070000	서울특별시 마포구 망원제2동	126.895	37.557
1144071000	서울특별시 마포구 연남동	126.923	37.562
1144072000	서울특별시 마포구 성산제1동	126.911	37.562
1144073000	서울특별시 마포구 성산제2동	126.905	37.568
1144074000	서울특별시 마포구 상암동	126.875	37.573
1147000000	서울특별시 양천구	126.854	37.525
1147051000	서울특별시 양천구 목1동	126.874	37.527
1147052000	서울특별시 양천구 목2동	126.874	37.543
1147053000	서울특별시 양천구 목3동	126.865	37.545
1147054000	서울특별시 양천구 목4동	126.867	37.535
1147055000	서울특별시 양천구 목5동	126.881	37.537
1147055100	서울특별시 양천구 목제6동	126.877	37.537
1147056000	서울특별시 양천구 신월1동	126.835	37.531
1147057000	서울특별시 양천구 신월2동	126.845	37.522
1147058000	서울특별시 양천구 신월3동	126.827	37.533
1147059000	서울특별시 양천구 신월4동	126.84	37.522
1147060000	서울특별시 양천구 신월5동	126.83	37.541
1147061000	서울특별시 양천구 신월6동	126.843	37.517
1147061100	서울특별시 양천구 신월7동	126.832	37.52
1147062000	서울특별시 양천구 신정1동	126.86	37.518
1147063000	서울특별시 양천구 신정2동	126.875	37.519
1147064000	서울특별시 양천구 신정3동	126.841	37.511
1147065000	서울특별시 양천구 신정4동	126.857	37.525
1147066000	서울특별시 양천구 신정제5동	126.857	37.525
1147067000	서울특별시 양천구 신정6동	126.867	37.516
1147068000	서울특별시 양천구 신정7동	126.864	37.511
1150000000	서울특별시 강서구	126.821	37.566
1150051000	서울특별시 강서구 염창동	126.876	37.554
1150052000	서울특별시 강서구 등촌제1동	126.858	37.556
1150053000	서울특별시 강서구 등촌제2동	126.859	37.545
1150053500	서울특별시 강서구 등촌제3동	126.846	37.562
1150054000	서울특별시 강서구 화곡제1동	126.841	37.534
1150055000	서울특별시 강서구 화곡제2동	126.855	37.533
1150056000	서울특별시 강서구 화곡제3동	126.834	37.544
1150057000	서울특별시 강서구 화곡제4동	126.858	37.536
1150058000	서울특별시 강서구 화곡제5동	126.841	37.55
1150059000	서울특별시 강서구 화곡본동	126.849	37.543
1150059100	서울특별시 강서구 화곡제6동	126.851	37.552
1150059200	서울특별시 강서구 화곡제7동	126.839	37.537
1150059300	서울특별시 강서구 화곡제8동	126.848	37.534
